Peso_unitario,Cohesion,Angulo_fric,Angulo_talud,Altura,ru,FS
21,10,20,25,30,0,1.3
25.1,41,36.5,30,30,0,1.55
18,50,33,80,38,0,1.32
17,15,30,30,35,0,1.45
19,15,30,40,17.5,0,1.33
19.5,32,35,30,113,0,1.7
18.5,25,32,45,30,0,1.54
18.22,124,35,45,12,0,1.65
18.71,117,33,60,10,0,1.57
18.2,93,33,63,7,0,0.98
18.2,117,35,52,15,0,1.54
17.93,128,35,45,17,0,1.42
18.27,155,32,63,10,0,1.57
18.22,155,32,67,10,0,1.65
18.12,133,30,45,7,0,1.22
17.57,120,35,45,7,0,1.73
18,117,35,52,17,0,1.33
16,70,20,40,115,0,1.11
20.41,14.9,13,22,10.67,0.35,1.4
19.63,11.97,20,22,12.19,0.41,1.05
21.82,8.62,32,28,12.8,0.49,1.03
20.41,33.52,11,16,45.72,0.2,1.28
18.84,15.32,30,25,10.67,0.38,1.33
18.84,0,20,20,7.62,0.45,0.85
19.06,117.71,28,35,21,0.11,1.09
18.84,14.36,25,20,30.5,0.45,1.11
18,24,30.15,45,20,0.12,1.12
22.4,10,35,45,10,0.4,0.9
17.4,5,43.5,58,29,0.05,0.67
17.8,14,44.2,65,31,0.07,0.45
19.8,57.5,41.3,62,23,0.19,1.74
17.6,39.5,30.2,50,38,0.04,1.17
17.3,39,30,50,35,0.04,1.19
17.8,38.7,30.5,60,26,0,1.22
17.9,39,31.2,55,25,0.15,1.21
17.3,39,30,50,26,0.2,1.39
17.3,37.9,30,45,29,0.37,1.16
17.5,38.5,29,50,33,0.2,1.07
17.5,39.2,29.7,55,31,0,1.17
17.8,39.8,31.3,45,32,0.34,1.13
17.3,39,30,48,30,0.03,1.41
14,11.97,26,30,88,0.45,0.625
27,37.5,35,37.8,320,0.25,1.24
12,0,30,35,4,0,1.46
22.4,10,35,45,10,0.4,0.9
21,35,28,40,12,0.5,1.43
20,10.1,29,34,6,0.3,1.34
27,40,35,47.1,292,0.25,1.15
28.4,29.4,35,35,100,0,1.78
27.3,31.5,29.7,41,135,0.25,1.245
22,20,22,20,180,0.1,0.99
22.4,10,35,30,10,0,2
27.3,10,39,41,511,0.25,1.434
19,30,35,35,11,0.2,2
27.3,10,39,40,470,0.25,1.418
14,12,26,30,88,0,1.02
19.1,10.1,10,25,50,0.4,0.65
18.7,26.4,15,35,8.2,0,1.11
20,0,36,45,50,0.25,0.79
22,20,22,20,180,0,1.12
19.6,12,20,22,12.2,0.405,1.35
16,70,20,40,115,0,1.11
19,11.7,28,35,21,0.11,1.09
21,45,25,49,12,0.3,1.53
20,20,36,45,50,0.5,0.83
18.8,30,20,30,50,0.1,1.46
14.8,0,17,20,50,0,1.13
27,35,35,42,359,0.25,1.27
20,0,24.5,20,8,0.35,1.37
18,24,30.2,45,20,0.12,1.12
25,46,36,44.5,299,0.25,1.55
27,32,33,42.4,289,0.25,1.3
22,0,36,45,50,0,0.89
18.8,20,10,25,50,0.3,0.97
18.8,25.1,20,30,50,0.2,1.21
27.3,10,39,40,480,0.25,1.45
27.3,16.8,28,50,90.5,0.25,1.252
20,40.1,30,30,15,0.3,1.84
18.8,14.4,25,20,30.6,0,1.88
21.5,6.9,30,31,76.8,0.38,1.01
14,11.97,26,30,88,0,1.02
26,150,45,50,200,0,1.2
25,46,35,46,432,0.25,1.23
18.5,12,0,30,6,0,0.78
18,45,25,25,14,0.3,2.09
22.4,100,45,45,15,0.25,1.8
20.6,16.2,26.5,30,40,0,1.25
25,46,35,50,284,0.25,1.34
18.8,20,20,30,50,0.3,1
21,20,40,40,12,0,1.84
18.8,25.1,10,25,50,0.2,1.18
23.47,0,32,37,214,0,1.08
21.43,0,20,20,61,0.5,1.03
18.5,25,0,30,6,0,1.09
31.3,68,37,49,200.5,0.25,1.2
28.4,39.2,38,35,100,0,1.99
18.8,14.4,25,20,30.6,0.45,1.11
27.3,14,31,41,110,0.25,1.249
31.3,68,37,46,366,0.25,1.2
20,40.1,40,40,10,0.2,2.31
21.8,8.6,32,28,12.8,0.49,1.03
18.8,30,10,25,50,0.1,1.4
18.84,0,20,20,7.62,0.45,1.05
18.8,10.4,21.3,34,37,0.3,1.29
20.4,24.9,13,22,10.6,0.35,1.4
27,32,33,42.6,301,0.25,1.16
22,0,40,33,8,0.35,1.45
21.4,10,30.34,30,20,0,1.7
20,0,36,45,50,0.5,0.67
16.5,11.6,0,30,3.6,0,1
18.8,57.5,20,20,30.6,0,2.04
12,0,30,45,8,0,0.8
18,5,30,20,8,0.3,2.05
18.84,14.36,25,20,30.5,0.45,1.11
19.1,10.1,20,30,50,0.4,0.65
25,46,35,47,443,0.25,1.28
18.8,24.8,21.3,29.2,37,0.5,1.07
22,20,36,45,50,0,1.02
25,120,45,53,120,0,1.3
23,0,20,20,100,0.3,1.2
20.4,33.5,11,16,45.8,0.2,1.28
25,46,35,44,435,0.25,1.37
18.8,15.3,30,25,10.6,0.38,1.63
21,30,35,40,12,0.4,1.49
24,0,40,33,8,0.3,1.58
14,12,26,30,88,0.45,0.63
20,20,36,45,50,0.25,0.96
27.3,26,31,50,92,0.25,1.246
